a	ˈeɪ
abranchiata	ɐbɹˌæŋkɪˈɑːɾə
abranchiate	ɐbɹˈæŋkɪˌeɪt
abranchious	ɐbɹˈæŋkiəs
abrasax	ɐbɹˈæsæks
abrase	ɐbɹˈeɪz
abrash	ɐbɹˈæʃ
abrasiometer	ɐbɹˌæsɪˈɑːmɪɾɚ
abrasion	ɐbɹˈeɪʒən
abrasive	ɐbɹˈeɪsɪv
abrastol	ɐbɹˈæstəl
abraum	ɐbɹˈaʊm
abraxas	ɐbɹˈæksəs
abreact	ɐbɹɪˈækt
abreaction	ɐbɹɪˈækʃən
abreast	ɐbɹˈɛst
abrenounce	ɐbɹˈɛnaʊns
abret	ɐbɹˈɛt
abrico	ɐbɹˈɪkoʊ
abridge	ɐbɹˈɪdʒ
abridgeable	ɐbɹˈɪdʒəbəl
abridged	ɐbɹˈɪdʒd
abridgedly	ɐbɹˈɪdʒdli
abridger	ɐbɹˈɪdʒɚ
abridgment	ɐbɹˈɪdʒmənt
abrim	ɐbɹˈɪm
abrin	ɐbɹˈɪn
abristle	ɐbɹˈɪsəl
abroach	ɐbɹˈoʊtʃ
abroad	ɐbɹˈɔːd
abrocoma	ɐbɹəkˈoʊmə
abrocome	ɐbɹˈɑːkʌm
abrogable	ˈæbɹoʊdʒəbəl
abrogate	ˈæbɹəɡˌeɪt
abrogation	ˌæbɹəɡˈeɪʃən
abrogative	ˈæbɹəɡətˌɪv
abrogator	ˈæbɹəɡˌeɪɾɚ
abroma	ɐbɹˈoʊmə
abronia	ɐbɹˈoʊniə
abrook	ɐbɹˈʊk
abrotanum	ɐbɹˈoʊtænəm
abrotine	ɐbɹˈɑːtiːn
abrupt	ɐbɹˈʌpt
abruptedly	ɐbɹˈʌptᵻdli
abruption	ɐbɹˈʌpʃən
abruptly	ɐbɹˈʌptli
abruptness	ɐbɹˈʌptnəs
abrus	ɐbɹˈuːz
absalom	ɐbsˈæləm
absampere	ɐbsˈæmpɛɹ
absaroka	ɐbsɐɹˈoʊkə
absarokite	ɐbsˈæɹəkˌaɪt
abscess	ˈæbsɛs
abscessed	ˈæbsɛst
abscession	æbsˈɛʃən
abscessroot	ˈæbsɪsɹˌuːt
abscind	ɐbsˈɪnd
abscise	ɐbsˈaɪz
abscision	ɐbsˈɪʒən
absciss	ɐbsˈɪs
abscissa	ɐbsˈɪsə
abscissae	ɐbsˈɪsiː
abscisse	ɐbsˈɪs
abscission	ɐbsˈɪʃən
absconce	ɐbskˈɑːns
abscond	ɐbskˈɑːnd
absconded	ɐbskˈɑːndᵻd
abscondedly	ɐbskˈɑːndᵻdli
abscondence	ɐbskˈɑːndəns
absconder	ɐbskˈɑːndɚ
absconsa	ɐbskˈɑːnsə
abscoulomb	ɐbskˈuːlɑːm
absence	ˈæbsəns
absent	ˈæbsənt
absentation	ˌæbsəntˈeɪʃən
absentee	ˌæbsəntˈiː
absenteeism	ˌæbsəntˈiːɪzəm
absenteeship	ˌæbsəntˈiːʃɪp
absenter	ˈæbsɛntɚ
absently	ˈæbsəntli
absentment	ˈæbsəntmənt
absentmindedly	ˈæbsəntmˌaɪndᵻdli
absentness	ˈæbsəntnəs
absfarad	ɐbsfˈæɹæd
abshenry	ɐbʃˈɛnɹi
absi	ɐbsi
absinthe	ˈæbsɪnθ
absinthial	ɐbsˈɪnθɪəl
absinthian	ɐbsˈɪnθiən
absinthiate	ɐbsˈɪnθɪˌeɪt
absinthic	ɐbsˈɪnθɪk
absinthin	ɐbsˈɪnθɪn
absinthine	ɐbsˈɪnθaɪn
absinthism	ɐbsˈɪnθɪzəm
absinthismic	ɐbsɪnθˈɪsmɪk
absinthium	ɐbsˈɪnθiəm
absinthol	ɐbsˈɪnθɑːl
absit	ɐbsˈɪt
absmho	ɐbzmhˈoʊ
absohm	ɐbsˈoʊm
absolute	ˈæbsəlˌuːt
absolutely	ˌæbsəlˈuːtli
absoluteness	ˈæbsəlˌuːtnəs
absolution	ˌæbsəlˈuːʃən
absolutism	ˈæbsəlˌuːɾɪzəm
absolutist	ˈæbsəlˌuːɾɪst
absolutistic	ˌæbsəluːtˈɪstɪk
absolutistically	ˌæbsəluːtˈɪstɪkli
absolutive	ˈæbsəlˌuːɾɪv
absolutization	ˌæbsəlˌuːɾᵻzˈeɪʃən
absolutize	ˈæbsəlˌuːɾaɪz
absolutory	ˈæbsəluːtˌɔːɹi
absolvable	ɐbsˈɑːlvəbəl
absolvatory	ɐbsˈɑːlvətˌɔːɹi
absolve	ɐbsˈɑːlv
absolvent	ɐbsˈɑːlvənt
absolver	ɐbsˈɑːlvɚ
absolvitor	ɐbsˈɑːlvɪɾɚ
absolvitory	ɐbsˈɑːlvɪtˌɔːɹi
absonant	ɐbsˈɑːnənt
absonous	ɐbsˈɑːnəs
absorb	ɐbsˈɔːɹb
absorbability	ɐbsˌɔːɹbəbˈɪlᵻɾi
absorbable	ɐbsˈɔːɹbəbəl
absorbed	ɐbsˈɔːɹbd
absorbedly	ɐbsˈɔːɹbᵻdli
absorbedness	ɐbsˈɔːɹbdnəs
absorbefacient	ɐbsˈɔːɹbɪfˌeɪʃənt
absorbency	ɐbsˈɔːɹbənsi
absorbent	ɐbsˈɔːɹbənt
absorber	ɐbsˈɔːɹbɚ
absorbing	ɐbsˈɔːɹbɪŋ
absorbingly	ɐbsˈɔːɹbɪŋli
absorbition	ɐbsɔːɹbˈɪtiən
absorpt	ɐbsˈɔːɹpt
absorptance	ɐbsˈɔːɹptəns
absorptiometer	ɐbsˌɔːɹptɪˈɑːmɪɾɚ
absorptiometric	ɐbsˌɔːɹptɪoʊmˈɛtɹɪk
absorption	ɐbsˈɔːɹpʃən
absorptive	ɐbsˈɔːɹptɪv
absorptively	ɐbsˈɔːɹptɪvli
absorptiveness	ɐbsˈɔːɹptɪvnəs
absorptivity	ɐbsɔːɹptˈɪvᵻɾi
absquatulate	ɐbskwˈɑːtʃʊlˌeɪt
abstain	ɐbstˈeɪn
abstainer	ɐbstˈeɪnɚ
abstainment	ɐbstˈeɪnmənt
abstemious	ɐbstˈiːmiəs
abstemiously	ɐbstˈiːmiəsli
abstemiousness	ɐbstˈiːmiəsnəs
abstention	ɐbstˈɛnʃən
abstentionist	ɐbstˈɛnʃənˌɪst
abstentious	ɐbstˈɛnʃəs
absterge	ɐbstˈɜːdʒ
abstergent	ɐbstˈɜːdʒənt
abstersion	ɐbstˈɜːʒən
abstersive	ɐbstˈɜːsɪv
abstersiveness	ɐbstˈɜːsɪvnəs
abstinence	ˈæbstɪnəns
abstinency	ˈæbstɪnənsi
abstinent	ˈæbstɪnənt
abstinential	ˌæbstɪnˈɛnʃəl
abstinently	ˈæbstɪnəntli
abstract	ˈæbstɹækt
abstracted	ɐbstɹˈæktᵻd
abstractedly	ɐbstɹˈæktᵻdli
abstractedness	ɐbstɹˈæktᵻdnəs
abstracter	ɐbstɹˈæktɚ
abstraction	ɐbstɹˈækʃən
abstractional	ɐbstɹˈækʃənəl
abstractionism	ɐbstɹˈækʃənˌɪzəm
abstractionist	ɐbstɹˈækʃənˌɪst
abstractitious	ɐbstɹɐktˈɪʃəs
abstractive	ɐbstɹˈæktɪv
abstractively	ɐbstɹˈæktɪvli
abstractiveness	ɐbstɹˈæktɪvnəs
abstractly	ɐbstɹˈæktli
abstractness	ɐbstɹˈæktnəs
abstractor	ɐbstɹˈæktɚ
abstrahent	ɐbstɹˈæhənt
abstricted	ɐbstɹˈɪktᵻd
abstriction	ɐbstɹˈɪkʃən
abstruse	ɐbstɹˈuːs
abstrusely	ɐbstɹˈuːsli
abstruseness	ɐbstɹˈuːsnəs
abstrusion	ɐbstɹˈuːʒən
abstrusity	ɐbstɹˈuːsᵻɾi
absume	ɐbsˈuːm
absumption	ɐbsˈʌmpʃən
absurd	ɐbsˈɜːd
absurdity	ɐbsˈɜːdᵻɾi
absurdly	ɐbsˈɜːdli
absurdness	ɐbsˈɜːdnəs
absvolt	ɐbsvˈoʊlt
absyrtus	ɐbsˈɪəɾəs
abterminal	ɐbtˈɜːmɪnəl
abthain	ɐbtˈaɪn
abthainrie	ɐbtˈaɪnɹi
abthainry	ɐbtˈaɪnɹi
abthanage	ɐbθˈænɪdʒ
abu	ˈæbuː
abucco	ɐbˈʌkoʊ
abulia	ɐbjˈuːliə
abulic	ɐbjˈʊlɪk
abulomania	ɐbjˌʊləmˈeɪniə
abuna	ɐbˈuːnə
abundance	ɐbˈʌndəns
abundancy	ɐbˈʌndənsi
abundant	ɐbˈʌndənt
abundantia	ɐbˈʌndænʃə
abundantly	ɐbˈʌndəntli
abura	ɐbjˈʊɹɹə
aburabozu	ɐbjˌʊɹɹɐbˈɑːzuː
aburban	ɐbˈɜːbən
aburst	ɐbˈɜːst
aburton	ɐbˈɜːtən
abusable	ɐbjˈuːzəbəl
abuse	ɐbjˈuːs
abusedly	ɐbjˈuːsᵻdli
abusee	ɐbjˈuːsiː
abuseful	ɐbjˈuːsfəl
abusefully	ɐbjˈuːsfəli
abusefulness	ɐbjˈuːsfəlnəs
abuser	ɐbjˈuːsɚ
abusion	ɐbˈɪziən
abusious	ɐbˈɪziəs
abusive	ɐbjˈuːsɪv
abusively	ɐbjˈuːsɪvli
abusiveness	ɐbjˈuːsɪvnəs
abut	ɐbˈʌt
abuta	ɐbjˈuːɾə
abutilon	ɐbjˈuːɾɪlən
abutment	ɐbˈʌtmənt
abuttal	ɐbˈʌɾəl
abutter	ɐbˈʌɾɚ
abutting	ɐbˈʌɾɪŋ
abuzz	ɐbˈʌz
abvolt	ɐbvˈoʊlt
abwab	ɐbwˈɑːb
aby	ɐbˈaɪ
abysm	ɐbˈɪzəm
abysmal	ɐbˈɪsməl
abysmally	ɐbˈɪsməli
abyss	ɐbˈɪs
abyssal	ɐbˈɪsəl
abyssinian	ɐbɪsˈɪniən
abyssobenthonic	ɐbˌɪsoʊbənθˈɑːnɪk
abyssolith	ɐbˈɪsəlˌɪθ
abyssopelagic	ɐbˌɪsoʊplˈædʒɪk
acacatechin	ɐkˈækɐtˌɛtʃɪn
acacatechol	ɐkˈækɐtˌɛkɑːl
acacetin	ɐkˈæsɪtˌɪn
acacia	ɐkˈeɪʃə
acacian	ɐkˈeɪʃiən
acaciin	ɐkˈæsɪˌɪn
acacin	ɐkˈæsɪn
academe	ɐkˈædəmi
academial	ˌækədˈɛmɪəl
academian	ˌækədˈiːmiən
academic	ˌækədˈɛmɪk
academical	ˌækədˈɛmɪkəl
